OTU1293,yes
OTU183,yes
OTU376,yes
OTU1215,yes
OTU1082,yes
OTU364,yes
OTU1282,yes
OTU289,yes
OTU371,yes
OTU143,yes
OTU259,yes
OTU1144,yes
OTU388,yes
OTU160,yes
OTU10,yes
OTU1514,yes
OTU1679,yes
OTU1335,yes
OTU1040,yes
OTU29,yes
OTU1600,yes
OTU164,yes
OTU1579,yes
OTU1574,yes
OTU1596,yes
OTU118,yes
OTU1067,yes
OTU1072,yes
OTU1086,yes
OTU1283,yes
OTU1172,yes
OTU1272,yes
OTU84,yes
OTU1194,yes
OTU1197,yes
OTU1214,yes
OTU391,yes
OTU1240,yes
OTU15,yes
OTU1226,yes
OTU1234,yes
OTU363,yes
OTU1520,yes
OTU1294,yes
OTU1206,yes
OTU1477,yes
OTU1384,yes
OTU204,yes
OTU1406,yes
OTU1519,yes
OTU1564,yes
OTU1022,yes
OTU135,yes
OTU1069,yes
OTU1156,yes
OTU150,yes
OTU1183,yes
OTU1094,yes
OTU11,yes
OTU335,yes
OTU1275,yes
OTU1230,yes
OTU291,yes
OTU1089,yes
OTU202,yes
OTU1244,yes
OTU97,yes
OTU1598,yes
OTU1159,yes
OTU65,yes
OTU89,yes
OTU319,yes
OTU1138,yes
OTU1031,yes
OTU1262,yes
OTU1158,yes
OTU1533,yes
OTU1005,yes
OTU178,yes
OTU1014,yes
OTU1150,yes
OTU1038,yes
OTU1071,yes
OTU1017,yes
OTU1045,yes
OTU1083,yes
OTU341,yes
OTU1274,yes
OTU398,yes
OTU399,yes
OTU352,yes
OTU105,yes
OTU1320,yes
OTU1196,yes
OTU1201,yes
OTU1174,yes
OTU40,yes
OTU1185,yes
OTU104,yes
OTU1250,yes
OTU1252,yes
OTU1251,yes
OTU88,yes
OTU362,yes
OTU1218,yes
OTU356,yes
OTU369,yes
OTU1228,yes
OTU366,yes
OTU295,yes
OTU1490,yes
OTU1580,yes
OTU1562,yes
OTU274,yes
OTU1025,yes
OTU1104,yes
OTU1260,yes
OTU329,yes
OTU1333,yes
OTU119,yes
OTU662,yes
OTU1220,yes
OTU285,yes
OTU591,yes
OTU502,yes
OTU1413,yes
OTU1410,yes
OTU192,yes
OTU1682,yes
OTU109,yes
OTU124,yes
OTU171,yes
OTU96,yes
OTU357,yes
OTU283,yes
OTU30,yes
OTU404,yes
OTU1050,yes
OTU129,yes
OTU1653,yes
OTU1540,yes
OTU1129,yes
OTU1154,yes
OTU1423,yes
OTU1077,yes
OTU373,yes
OTU1020,yes
OTU1059,yes
OTU317,yes
OTU1212,yes
OTU382,yes
OTU390,yes
OTU36,yes
OTU79,yes
OTU1205,yes
OTU17,yes
OTU1644,yes
OTU642,yes
OTU101,yes
OTU1261,yes
OTU1195,yes
OTU144,yes
OTU1617,yes
OTU1310,yes
OTU1545,yes
OTU182,yes
OTU1454,yes
OTU1539,yes
OTU1164,yes
OTU1453,yes
OTU170,yes
OTU1285,yes
OTU1635,yes
OTU1178,yes
OTU1225,yes
OTU1654,yes
OTU1167,yes
OTU1171,yes
OTU1489,yes
OTU1678,yes
OTU281,yes
OTU1118,yes
OTU165,yes
OTU21,yes
OTU60,yes
OTU1675,yes
OTU73,yes
OTU16,yes
OTU1257,yes
OTU337,yes
OTU1223,yes
OTU1032,yes
OTU1126,yes
OTU1576,yes
OTU1266,yes
OTU1190,yes
OTU1639,yes
OTU1105,yes
OTU125,yes
OTU87,yes
OTU127,yes
OTU1327,yes
OTU313,yes
OTU148,yes
OTU1278,yes
OTU1207,yes
OTU1318,yes
OTU62,yes
OTU132,yes
OTU1236,yes
OTU1273,yes
OTU557,yes
OTU1149,yes
OTU94,yes
OTU323,yes
OTU353,yes
OTU1068,yes
OTU336,yes
OTU1153,yes
OTU1662,yes
OTU280,yes
OTU1211,yes
OTU1258,yes
OTU7,yes
OTU316,yes
OTU151,yes
OTU1558,yes
OTU1325,yes
OTU1155,yes
OTU102,yes
OTU69,yes
OTU22,yes
OTU348,yes
OTU1650,yes
OTU147,yes
OTU68,yes
OTU149,yes
OTU1175,yes
OTU1409,yes
OTU1336,yes
OTU1160,yes
OTU155,yes
OTU1249,yes
OTU54,yes
OTU375,yes
OTU14,yes
OTU301,yes
OTU1546,yes
OTU167,yes
OTU1663,yes
OTU1551,yes
OTU1582,yes
OTU1573,yes
OTU1090,yes
OTU1128,yes
OTU163,yes
OTU1133,yes
OTU169,yes
OTU1007,yes
OTU157,yes
OTU1267,yes
OTU1271,yes
OTU1334,yes
OTU83,yes
OTU1316,yes
OTU26,yes
OTU360,yes
OTU76,yes
OTU1642,yes
OTU1553,yes
OTU173,yes
OTU1116,yes
OTU1151,yes
OTU1291,yes
OTU631,yes
OTU570,yes
OTU239,yes
OTU1356,yes
OTU1135,yes
OTU1578,yes
OTU1141,yes
OTU45,yes
OTU1137,yes
OTU1255,yes
OTU1312,yes
OTU318,yes
OTU1111,yes
OTU379,yes
OTU1237,yes
OTU1221,yes
OTU1238,yes
OTU1247,yes
OTU63,yes
OTU1216,yes
OTU1232,yes
OTU71,yes
OTU1224,yes
OTU1097,yes
OTU184,yes
OTU1638,yes
OTU1408,yes
OTU1321,yes
OTU1035,yes
OTU100,yes
OTU1018,yes
OTU1676,yes
OTU1627,yes
OTU1157,yes
OTU1677,yes
OTU1166,yes
OTU1093,yes
OTU1584,yes
OTU142,yes
OTU138,yes
OTU153,yes
